"","id","metabolite","sample","logInt","age","genotype"
"180","neg_553","FA 24:6","CC_AV589",4.10144952152691,"20wk","fl/fl"
"181","neg_553","FA 24:6","CC_AV590",1.12012351471898,"20wk","fl/fl"
"182","neg_553","FA 24:6","CC_AV591",0.827913531514664,"20wk","fl/fl"
"183","neg_553","FA 24:6","CC_AV598",4.8232733384379,"20wk","fl/fl"
"184","neg_553","FA 24:6","CC_AV604",7.33146734855344,"12wk","tg/tg"
"185","neg_553","FA 24:6","CC_AV608",3.43374209821671,"12wk","fl/fl"
"186","neg_553","FA 24:6","CC_AV609",2.16812275880833,"12wk","fl/fl"
"187","neg_553","FA 24:6","CC_AV610",2.1030251213589,"12wk","fl/fl"
"188","neg_553","FA 24:6","CC_AV611",2.71718965026671,"12wk","fl/fl"
"189","neg_553","FA 24:6","CC_AV612",6.49744721474536,"20wk","tg/tg"
"190","neg_553","FA 24:6","CC_AV650",5.98360372586759,"20wk","tg/tg"
"191","neg_553","FA 24:6","CC_AV717",6.50534686926994,"20wk","tg/tg"
"192","neg_553","FA 24:6","CC_AV718",4.84379081083431,"20wk","tg/tg"
"193","neg_553","FA 24:6","CC_AV770",3.96134166134018,"12wk","tg/tg"
"194","neg_553","FA 24:6","CC_AV782",4.75710204646088,"12wk","tg/tg"
"195","neg_553","FA 24:6","CC_AV791",4.78393797037014,"12wk","tg/tg"
"196","neg_553","FA 24:6","CC_AV794",4.47871552055021,"12wk","tg/tg"
"197","neg_553","FA 24:6","CC_AV802",-1.5924360260124,"12wk","fl/fl"
"198","neg_553","FA 24:6","CC_AV816",3.59495478703021,"5wk","fl/fl"
"199","neg_553","FA 24:6","CC_AV817",3.90213051984946,"5wk","tg/tg"
"200","neg_553","FA 24:6","CC_AV833",4.50026533614587,"12wk","tg/tg"
"201","neg_553","FA 24:6","CC_AV863",3.46690053140281,"5wk","fl/fl"
"202","neg_553","FA 24:6","CC_AV864",5.27159939274309,"5wk","fl/fl"
"203","neg_553","FA 24:6","CC_AV865",4.60834444069551,"5wk","fl/fl"
"204","neg_553","FA 24:6","CC_AV866",4.60360695776813,"5wk","fl/fl"
"205","neg_553","FA 24:6","CC_AV967",3.09975648858783,"5wk","tg/tg"
"206","neg_553","FA 24:6","CC_AV968",5.0011112832957,"5wk","tg/tg"
"207","neg_553","FA 24:6","CC_AV971",5.49892925740554,"5wk","tg/tg"
"208","neg_553","FA 24:6","CC_AV972",4.26537847327528,"5wk","tg/tg"
"209","neg_553","FA 24:6","CC_AV974",5.62596673611626,"5wk","tg/tg"
"210","neg_553","FA 24:6","CC_AV996",3.60628122204463,"5wk","tg/tg"
"211","neg_561","FA 24:5","CC_AV555",-0.130674185359818,"20wk","tg/tg"
"212","neg_561","FA 24:5","CC_AV572",0.251538766995964,"20wk","fl/fl"
"213","neg_561","FA 24:5","CC_AV580",-0.219422500561662,"12wk","fl/fl"
"214","neg_561","FA 24:5","CC_AV586",0.841088537212772,"20wk","fl/fl"
"215","neg_561","FA 24:5","CC_AV589",1.05643978660935,"20wk","fl/fl"
"216","neg_561","FA 24:5","CC_AV590",-0.491311197363366,"20wk","fl/fl"
"217","neg_561","FA 24:5","CC_AV591",-0.0896243082933633,"20wk","fl/fl"
"218","neg_561","FA 24:5","CC_AV598",2.63804108420774,"20wk","fl/fl"
"219","neg_561","FA 24:5","CC_AV604",6.21776684938872,"12wk","tg/tg"
"220","neg_561","FA 24:5","CC_AV608",1.70760353453486,"12wk","fl/fl"
"221","neg_561","FA 24:5","CC_AV609",2.01611966536328,"12wk","fl/fl"
"222","neg_561","FA 24:5","CC_AV610",0.690015303427038,"12wk","fl/fl"
"223","neg_561","FA 24:5","CC_AV611",-0.561669722728769,"12wk","fl/fl"
"224","neg_561","FA 24:5","CC_AV612",5.45953219342495,"20wk","tg/tg"
"225","neg_561","FA 24:5","CC_AV650",4.84566883866971,"20wk","tg/tg"
"226","neg_561","FA 24:5","CC_AV717",5.49345101133672,"20wk","tg/tg"
"227","neg_561","FA 24:5","CC_AV718",4.73598752129979,"20wk","tg/tg"
"228","neg_561","FA 24:5","CC_AV770",3.03824964704596,"12wk","tg/tg"
"229","neg_561","FA 24:5","CC_AV782",3.05666232831978,"12wk","tg/tg"
"230","neg_561","FA 24:5","CC_AV791",3.26146014427749,"12wk","tg/tg"
"231","neg_561","FA 24:5","CC_AV794",1.83164066085717,"12wk","tg/tg"
"232","neg_561","FA 24:5","CC_AV802",1.88653577902055,"12wk","fl/fl"
"233","neg_561","FA 24:5","CC_AV816",2.13252276168049,"5wk","fl/fl"
"234","neg_561","FA 24:5","CC_AV817",1.89214643127684,"5wk","tg/tg"
"235","neg_561","FA 24:5","CC_AV833",4.06394691677985,"12wk","tg/tg"
"236","neg_561","FA 24:5","CC_AV863",2.1186611593996,"5wk","fl/fl"
"237","neg_561","FA 24:5","CC_AV864",3.09332474808035,"5wk","fl/fl"
"238","neg_561","FA 24:5","CC_AV865",3.36177834571748,"5wk","fl/fl"
"239","neg_561","FA 24:5","CC_AV866",4.15932222859205,"5wk","fl/fl"
"240","neg_561","FA 24:5","CC_AV967",2.76740102225013,"5wk","tg/tg"
"241","neg_561","FA 24:5","CC_AV968",4.18591134440381,"5wk","tg/tg"
"242","neg_561","FA 24:5","CC_AV971",4.22089902719964,"5wk","tg/tg"
"243","neg_561","FA 24:5","CC_AV972",3.62248977769635,"5wk","tg/tg"
"244","neg_561","FA 24:5","CC_AV974",2.60007394363145,"5wk","tg/tg"
"245","neg_561","FA 24:5","CC_AV996",-0.0311486985706647,"5wk","tg/tg"
