"","OTU","Sample","Abundance","mouse_id","Genotype","Age","Genotype_Age","Tissue","Phenotype","Tissue_Age","Age_Genotype","Age_Phenotype","Exact_Age","Tumor_No","Cage","Litter","Cage_Genotype","Gender","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"394","Zotu14; LachnospiraceaeNK4A136group","D29677_10-AV587",0.0723148359595037,"AV587","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",5.1,0,"G","140","G_tg/wt","m",2.405586854,17.93520366,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"395","Zotu123; LachnospiraceaeNK4A136group","D29672_05-AV974",0.0722543352601156,"AV974","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"V","165","V_tg/tg","f",5.992074477,23.4479337,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu123","Zotu123; LachnospiraceaeNK4A136group"
"396","Zotu53; LachnospiraceaeNK4A136group","D29672_05-AV974",0.0722543352601156,"AV974","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"V","165","V_tg/tg","f",5.992074477,23.4479337,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"397","Zotu259; Parasutterella","D29680_13-AV597",0.0719005717807375,"AV597","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"H","139","H_tg/wt","m",NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu259","Zotu259; Parasutterella"
"398","Zotu35; GOTU2839","D29683_16-AV816",0.071312547046472,"AV816","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"Q","159","Q_fl/fl","m",NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2839","Zotu35","Zotu35; GOTU2839"
"399","Zotu18; Parasutterella","D29678_11-AV588",0.0707789220370174,"AV588","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"G","140","G_tg/wt","m",2.744206198,20.93805541,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"400","Zotu401; RikenellaceaeRC9gutgroup","D29678_11-AV588",0.0707789220370174,"AV588","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"G","140","G_tg/wt","m",2.744206198,20.93805541,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","RikenellaceaeRC9gutgroup","Zotu401","Zotu401; RikenellaceaeRC9gutgroup"
"401","Zotu123; LachnospiraceaeNK4A136group","D29692_25-AV608",0.0707269155206287,"AV608","fl/fl","12wk","fl/fl_12wk","Healthy","NT","Healthy_12wk","12wk_fl/fl","12wk_NT",11.7,0,"I","144","I_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu123","Zotu123; LachnospiraceaeNK4A136group"
"402","Zotu18; Parasutterella","D29738_71-AV604TA",0.0704225352112676,"AV604TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.3,3,"I","143","I_tg/tg","m",NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"403","Zotu40; GOTU1381","D29679_12-AV596",0.0704067590488687,"AV596","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"H","139","H_tg/wt","m",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
